match_id,EndID,TeamID,score_diff,PowerPlay,has_hammer,ends_remaining,won,wp_pred,wp_next,wp_end,wpa,pressure_situation,leverage_proxy,pressure_leverage
0_1_1,1,19,0,NA,FALSE,8,0,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_1_1,1,27,0,NA,TRUE,8,1,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_1_2,1,20,0,NA,FALSE,8,1,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_1_2,1,46,0,NA,TRUE,8,0,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_1_3,1,17,0,NA,FALSE,8,0,0.4298310678425787,0.5623178612510823,0.5623178612510823,0.1324867934085036,medium,1,medium
0_1_3,1,22,0,NA,TRUE,8,1,0.5701689321574283,0.43768213874892387,0.43768213874892387,-0.1324867934085044,medium,1,medium
0_1_4,1,18,0,NA,FALSE,8,0,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_1_4,1,43,0,NA,TRUE,8,1,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_2_1,1,43,0,NA,TRUE,8,1,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_2_1,1,46,0,NA,FALSE,8,0,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_2_2,1,19,0,NA,TRUE,8,1,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_2_2,1,22,0,NA,FALSE,8,0,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_2_3,1,20,0,NA,TRUE,8,0,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_2_3,1,24,0,NA,FALSE,8,1,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_2_4,1,10,0,NA,TRUE,8,0,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_2_4,1,27,0,NA,FALSE,8,1,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_3_1,1,18,0,NA,TRUE,8,0,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_3_1,1,24,0,NA,FALSE,8,1,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_3_2,1,17,0,NA,FALSE,8,1,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_3_2,1,20,0,NA,TRUE,8,0,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_4_1,1,10,0,NA,FALSE,8,1,0.4298310678425787,0.29548026768538754,0.29548026768538754,-0.13435080015719114,medium,1,medium
0_4_1,1,17,0,NA,TRUE,8,0,0.5701689321574283,0.7045197323146173,0.7045197323146173,0.13435080015718903,medium,1,medium
0_4_2,1,18,0,NA,FALSE,8,1,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_4_2,1,27,0,NA,TRUE,8,0,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_4_3,1,19,0,NA,TRUE,8,1,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_4_3,1,43,0,NA,FALSE,8,0,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
0_4_4,1,22,0,NA,TRUE,8,1,0.5701689321574283,0.5623178612510823,0.5623178612510823,-0.007851070906345958,medium,1,medium
0_4_4,1,46,0,NA,FALSE,8,0,0.4298310678425787,0.43768213874892387,0.43768213874892387,0.007851070906345181,medium,1,medium
